College Code,College Name,Branch Code,Rank,Gender,Region,Caste,Seat Category
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,66,M,OU,BC_A,OC_GEN_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,71,M,OU,BC_B,OC_GEN_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,89,M,OU,BC_D,OC_GEN_UR
IOES,"GOVT INSTITUTE OF ELECTRONICS, SECUNDERABAD",CS,90,M,OU,BC_A,OC_GEN_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,101,F,OU,BC_D,OC_GIRLS_UR
IOES,"GOVT INSTITUTE OF ELECTRONICS, SECUNDERABAD",EC,101,M,OU,OC,OC_GEN_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,108,M,OU,BC_D,OC_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",EC,112,M,OU,BC_D,OC_GEN_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,116,M,OU,BC_D,OC_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,116,M,OU,BC_B,BC_B_GEN_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",EC,116,M,OU,OC,OC_GEN_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,128,M,OU,BC_B,OC_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,132,M,OU,BC_B,OC_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,135,M,OU,BC_B,OC_GEN_OU
IOES,"GOVT INSTITUTE OF ELECTRONICS, SECUNDERABAD",AI,140,M,OU,BC_E,OC_GEN_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,143,F,OU,BC_A,OC_GIRLS_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,144,M,OU,BC_B,OC_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",EC,147,F,OU,BC_D,OC_GIRLS_UR
IOES,"GOVT INSTITUTE OF ELECTRONICS, SECUNDERABAD",AI,154,F,OU,OC,OC_GIRLS_UR
NZBD,"GOVT POLYTECHNIC , NIZAMABAD",ME,161,F,OU,SC,OC_GIRLS_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,168,F,OU,BC_B,BC_B_GIRLS_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,179,M,OU,BC_B,OC_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,185,M,OU,BC_D,OC_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,189,M,OU,OC,OC_GEN_OU
IOES,"GOVT INSTITUTE OF ELECTRONICS, SECUNDERABAD",CS,195,F,OU,BC_B,OC_GIRLS_UR
WRGL,"GOVT POLYTECHNIC, WARANGAL",CS,195,M,OU,BC_A,BC_A_GEN_UR
JNGP,"J N GOVT POLYTECHNIC, RAMANTHAPUR",EC,198,F,OU,OC,OC_GIRLS_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,200,F,OU,OC,OC_GIRLS_OU
WRGL,"GOVT POLYTECHNIC, WARANGAL",EE,201,F,OU,BC_B,OC_GIRLS_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,209,M,OU,BC_D,OC_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,215,F,OU,BC_B,OC_GIRLS_OU
JMTS,"JYOTHISHMATHI INSTITUTE OF TECHNOLOGY AND SCI., KARIMNAGAR",CS,218,F,OU,BC_E,OC_GIRLS_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,219,M,OU,BC_E,OC_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,219,M,OU,BC_D,OC_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,230,M,OU,BC_D,OC_GEN_OU
IOES,"GOVT INSTITUTE OF ELECTRONICS, SECUNDERABAD",AI,236,M,OU,BC_D,OC_GEN_UR
IOES,"GOVT INSTITUTE OF ELECTRONICS, SECUNDERABAD",AI,240,M,NL,BC_B,BC_B_PHV_GEN_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,241,M,OU,BC_D,OC_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,245,M,OU,OC,OC_GEN_OU
IOES,"GOVT INSTITUTE OF ELECTRONICS, SECUNDERABAD",AI,254,M,OU,OC,OC_GEN_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,254,M,OU,BC_B,OC_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",CE,257,F,OU,BC_A,OC_GIRLS_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,257,F,OU,BC_E,OC_GIRLS_OU
NZBD,"GOVT POLYTECHNIC , NIZAMABAD",CE,262,M,OU,SC,OC_GEN_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,267,F,OU,BC_D,OC_GIRLS_OU
WRGL,"GOVT POLYTECHNIC, WARANGAL",CS,270,F,OU,BC_D,OC_GIRLS_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,272,F,OU,OC,EWS_GEN_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,277,M,OU,BC_B,OC_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,294,M,OU,SC,SC_GEN_UR
IOES,"GOVT INSTITUTE OF ELECTRONICS, SECUNDERABAD",AI,299,M,OU,OC,OC_GEN_UR
JNGP,"J N GOVT POLYTECHNIC, RAMANTHAPUR",EE,306,M,OU,BC_B,OC_GEN_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,311,F,OU,BC_D,OC_GIRLS_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,327,F,OU,BC_D,OC_GIRLS_OU
JMTS,"JYOTHISHMATHI INSTITUTE OF TECHNOLOGY AND SCI., KARIMNAGAR",CS,331,M,OU,BC_D,OC_GEN_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,333,M,OU,BC_D,OC_GEN_OU
MOTK,"MOTHER TERESA INSTITUTE OF SCI. AND TECHNOLOGY, SATHUPALLY",CS,336,F,OU,OC,OC_GIRLS_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",EE,338,F,OU,BC_B,OC_GIRLS_UR
IOES,"GOVT INSTITUTE OF ELECTRONICS, SECUNDERABAD",EC,343,F,OU,SC,OC_GIRLS_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,345,F,OU,BC_B,OC_GIRLS_OU
WRGL,"GOVT POLYTECHNIC, WARANGAL",CS,347,F,OU,OC,OC_GIRLS_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,352,M,OU,BC_B,OC_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,355,F,OU,BC_B,OC_GIRLS_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,355,M,OU,SC,SC_GEN_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,359,M,OU,BC_B,OC_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,359,F,OU,BC_A,BC_A_GEN_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,363,M,OU,OC,OC_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,363,M,OU,BC_D,OC_GEN_OU
WRGL,"GOVT POLYTECHNIC, WARANGAL",CS,373,F,OU,BC_B,BC_B_GIRLS_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,379,M,OU,BC_B,OC_GEN_OU
NZBD,"GOVT POLYTECHNIC , NIZAMABAD",CS,381,F,OU,BC_E,OC_GIRLS_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,386,F,OU,BC_D,OC_GIRLS_OU
IITT,"INDUR INSTITUTE OF ENGINEERING AND TECHNOLOGY, SIDDIPET",CS,388,M,OU,BC_B,OC_GEN_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",EC,389,M,OU,OC,OC_GEN_OU
IOES,"GOVT INSTITUTE OF ELECTRONICS, SECUNDERABAD",CS,392,F,OU,OC,OC_GIRLS_UR
IOES,"GOVT INSTITUTE OF ELECTRONICS, SECUNDERABAD",CS,398,M,OU,OC,OC_GEN_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,400,F,OU,BC_A,"BC_A_CAP_GEN_UR(0
)"
NZBD,"GOVT POLYTECHNIC , NIZAMABAD",CS,408,F,OU,BC_B,OC_GEN_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,423,M,OU,BC_D,BC_D_GEN_OU
DDHD,"S D D TT I FOR WOMEN, HYDERABAD",CS,423,F,OU,BC_D,OC_GIRLS_UR
TKRC,"T K R COLLEGE OF ENGG. AND TECHNOLOGY, MIRPET",EC,423,M,OU,OC,OC_GEN_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,432,F,OU,BC_B,OC_GIRLS_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,436,F,OU,BC_B,OC_GIRLS_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,443,M,OU,BC_B,BC_B_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",EC,448,F,OU,BC_D,OC_GIRLS_UR
IOES,"GOVT INSTITUTE OF ELECTRONICS, SECUNDERABAD",ES,449,M,OU,BC_B,OC_GEN_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,454,F,OU,BC_D,BC_D_GIRLS_OU
IOES,"GOVT INSTITUTE OF ELECTRONICS, SECUNDERABAD",CS,459,M,OU,OC,OC_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,463,M,OU,BC_B,BC_B_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,465,F,OU,BC_D,BC_D_GIRLS_OU
NZBD,"GOVT POLYTECHNIC , NIZAMABAD",CS,469,M,OU,BC_B,BC_B_GEN_UR
IOES,"GOVT INSTITUTE OF ELECTRONICS, SECUNDERABAD",CS,473,F,OU,BC_B,OC_GIRLS_UR
IOES,"GOVT INSTITUTE OF ELECTRONICS, SECUNDERABAD",CS,477,M,OU,BC_B,BC_B_GEN_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,485,M,OU,OC,EWS_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,496,F,OU,BC_A,BC_A_GIRLS_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,499,M,OU,OC,EWS_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,504,M,OU,BC_B,BC_B_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,513,F,OU,OC,EWS_GIRLS_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,515,M,OU,OC,EWS_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,516,M,OU,BC_D,BC_D_GEN_OU
WRGL,"GOVT POLYTECHNIC, WARANGAL",EC,516,M,OU,BC_B,OC_GEN_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,521,F,OU,BC_A,BC_A_GIRLS_OU
WRGL,"GOVT POLYTECHNIC, WARANGAL",EE,542,M,OU,BC_B,OC_GEN_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,545,M,OU,BC_D,BC_D_GEN_OU
IOES,"GOVT INSTITUTE OF ELECTRONICS, SECUNDERABAD",CS,552,F,OU,OC,EWS_GEN_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,552,M,OU,BC_B,BC_B_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",EC,554,F,OU,BC_B,OC_GEN_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,559,F,OU,BC_B,BC_B_GIRLS_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,570,M,OU,SC,SC_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",EE,572,M,OU,BC_D,BC_D_GEN_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,581,F,OU,BC_B,BC_B_GIRLS_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,581,F,OU,BC_A,BC_A_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,584,M,OU,BC_B,BC_B_GEN_OU
IOES,"GOVT INSTITUTE OF ELECTRONICS, SECUNDERABAD",EC,584,M,OU,BC_A,OC_GEN_UR
SGMA,"S G M GOVT POLYTECHNIC, ABDULLAPURMET",AA,588,F,OU,BC_B,OC_GIRLS_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",EE,597,M,OU,SC,SC_GEN_UR
IOES,"GOVT INSTITUTE OF ELECTRONICS, SECUNDERABAD",AI,605,F,OU,BC_D,BC_D_GIRLS_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,605,F,OU,BC_D,BC_D_PHV_GIRLS_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,610,F,OU,OC,EWS_GIRLS_OU
WRGL,"GOVT POLYTECHNIC, WARANGAL",CS,613,F,OU,BC_D,BC_D_GIRLS_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,615,M,OU,BC_B,BC_B_GEN_OU
IOES,"GOVT INSTITUTE OF ELECTRONICS, SECUNDERABAD",AI,620,M,OU,BC_B,OC_GEN_OU
IOES,"GOVT INSTITUTE OF ELECTRONICS, SECUNDERABAD",AI,622,M,OU,OC,OC_GEN_OU
WRGL,"GOVT POLYTECHNIC, WARANGAL",CS,624,M,OU,BC_D,BC_D_GEN_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",EC,624,M,OU,BC_B,BC_B_GEN_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,635,M,OU,BC_A,BC_A_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,641,F,OU,BC_B,BC_B_GIRLS_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,648,F,OU,BC_B,BC_B_GIRLS_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,659,F,OU,BC_A,BC_A_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,661,M,OU,OC,OC_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,661,M,OU,BC_E,BC_E_GEN_OU
IOES,"GOVT INSTITUTE OF ELECTRONICS, SECUNDERABAD",AI,673,F,OU,BC_B,OC_GIRLS_OU
JNGP,"J N GOVT POLYTECHNIC, RAMANTHAPUR",EE,673,M,OU,BC_B,OC_GEN_UR
JNGP,"J N GOVT POLYTECHNIC, RAMANTHAPUR",EC,684,M,OU,OC,OC_GEN_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,690,F,OU,OC,EWS_GIRLS_OU
SDPT,"GOVT.POLYTECHNIC, SIDDIPET",CS,695,M,OU,OC,OC_GEN_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",EC,698,M,OU,BC_B,OC_CAP_GEN_UR(0)
TKEM,"TEEGALA KRISHNA REDDY ENGINEERING COLLEGE, MIRPET",EC,704,M,OU,SC,OC_GEN_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",EC,714,M,OU,BC_B,OC_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",EC,718,M,OU,BC_B,OC_GEN_OU
GPWS,"GOVT POLYTECHNIC FOR WOMEN, SECUNDERABAD",CS,724,F,OU,BC_B,OC_GIRLS_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,727,F,OU,BC_B,BC_B_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",EC,728,F,OU,BC_B,OC_GIRLS_OU
WRGL,"GOVT POLYTECHNIC, WARANGAL",CS,731,F,OU,BC_B,BC_B_GEN_UR
IOES,"GOVT INSTITUTE OF ELECTRONICS, SECUNDERABAD",AI,737,F,OU,BC_B,OC_PHH_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,737,M,OU,OC,EWS_GEN_OU
WRGL,"GOVT POLYTECHNIC, WARANGAL",CS,744,M,OU,BC_D,OC_GEN_OU
IOES,"GOVT INSTITUTE OF ELECTRONICS, SECUNDERABAD",AI,748,M,OU,BC_B,BC_B_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",EE,754,M,OU,OC,OC_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,756,F,OU,BC_B,OC_GEN_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",EC,756,F,OU,BC_B,OC_GIRLS_OU
WLGW,"GOVT POLYTECHNIC FOR WOMEN, WARANGAL",EC,761,F,OU,BC_B,OC_CAP_GIRLS_UR(0)
WRGL,"GOVT POLYTECHNIC, WARANGAL",CS,766,F,OU,OC,OC_GIRLS_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",EC,784,F,OU,SC,SC_GEN_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",ME,800,M,OU,OC,OC_GEN_UR
GPWS,"GOVT POLYTECHNIC FOR WOMEN, SECUNDERABAD",CS,805,F,OU,OC,OC_GIRLS_UR
GPWS,"GOVT POLYTECHNIC FOR WOMEN, SECUNDERABAD",HS,805,F,OU,BC_D,OC_GIRLS_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",EC,811,M,OU,BC_B,OC_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",EC,811,M,OU,BC_A,BC_A_GEN_OU
GPWS,"GOVT POLYTECHNIC FOR WOMEN, SECUNDERABAD",CS,817,F,OU,BC_B,BC_B_GIRLS_UR
WRGL,"GOVT POLYTECHNIC, WARANGAL",CS,829,F,OU,BC_B,BC_B_GEN_UR
IOES,"GOVT INSTITUTE OF ELECTRONICS, SECUNDERABAD",CS,832,F,OU,BC_B,BC_B_GEN_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,837,M,OU,OC,OC_GEN_UR
IOES,"GOVT INSTITUTE OF ELECTRONICS, SECUNDERABAD",AI,842,M,OU,BC_B,BC_B_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",EC,848,M,OU,BC_D,BC_D_GEN_UR
IOES,"GOVT INSTITUTE OF ELECTRONICS, SECUNDERABAD",AI,849,M,OU,BC_A,BC_A_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,849,M,OU,SC,SC_GEN_OU
IOES,"GOVT INSTITUTE OF ELECTRONICS, SECUNDERABAD",CS,857,F,OU,BC_B,BC_B_GIRLS_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,861,M,OU,BC_D,BC_D_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,861,M,OU,BC_D,BC_D_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",EC,861,M,OU,BC_D,OC_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",EC,861,M,OU,BC_B,OC_GEN_OU
WRGL,"GOVT POLYTECHNIC, WARANGAL",CS,871,M,OU,BC_D,OC_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",EE,871,F,OU,BC_E,BC_E_GIRLS_UR
IOES,"GOVT INSTITUTE OF ELECTRONICS, SECUNDERABAD",CS,877,M,OU,BC_B,BC_B_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",CE,880,M,OU,BC_B,OC_GEN_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",EE,888,M,OU,BC_B,OC_GEN_OU
IOES,"GOVT INSTITUTE OF ELECTRONICS, SECUNDERABAD",CS,892,M,OU,BC_B,BC_B_GEN_OU
WRGL,"GOVT POLYTECHNIC, WARANGAL",CS,897,M,OU,BC_A,OC_GEN_OU
WRGL,"GOVT POLYTECHNIC, WARANGAL",CS,900,F,OU,SC,SC_GIRLS_UR
WRGL,"GOVT POLYTECHNIC, WARANGAL",EC,908,M,OU,BC_E,OC_GEN_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,913,F,OU,BC_E,BC_E_GIRLS_OU
IOES,"GOVT INSTITUTE OF ELECTRONICS, SECUNDERABAD",CS,920,F,OU,BC_B,OC_GIRLS_OU
IOES,"GOVT INSTITUTE OF ELECTRONICS, SECUNDERABAD",AI,923,M,OU,BC_B,BC_B_GEN_OU
IOES,"GOVT INSTITUTE OF ELECTRONICS, SECUNDERABAD",CCB,928,F,OU,OC,OC_GIRLS_UR
IOES,"GOVT INSTITUTE OF ELECTRONICS, SECUNDERABAD",CS,928,F,OU,BC_B,BC_B_GIRLS_AU
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,938,F,OU,OC,EWS_GEN_OU
NZBD,"GOVT POLYTECHNIC , NIZAMABAD",CS,941,F,OU,BC_A,BC_A_GIRLS_UR
SDPW,"GOVERNMENT POLYTECHNIC FOR WOMEN, SIDDIPET",CS,943,F,OU,BC_B,OC_GIRLS_UR
WRGL,"GOVT POLYTECHNIC, WARANGAL",CS,947,M,OU,BC_B,BC_B_GEN_UR
IOES,"GOVT INSTITUTE OF ELECTRONICS, SECUNDERABAD",AI,949,M,OU,OC,EWS_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,949,M,OU,BC_E,BC_E_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",EC,954,M,OU,OC,OC_GEN_OU
WRGL,"GOVT POLYTECHNIC, WARANGAL",CS,956,F,OU,BC_B,BC_B_GEN_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,962,F,OU,BC_B,OC_GIRLS_OU
IOES,"GOVT INSTITUTE OF ELECTRONICS, SECUNDERABAD",AI,966,M,OU,BC_B,BC_B_GEN_AU
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,966,M,OU,OC,EWS_GEN_OU
WRGL,"GOVT POLYTECHNIC, WARANGAL",CS,966,M,OU,OC,OC_GEN_OU
TKRC,"T K R COLLEGE OF ENGG. AND TECHNOLOGY, MIRPET",CS,977,F,OU,OC,OC_GIRLS_UR
IOES,"GOVT INSTITUTE OF ELECTRONICS, SECUNDERABAD",AI,989,M,OU,BC_B,BC_B_GEN_AU
WRGL,"GOVT POLYTECHNIC, WARANGAL",CS,989,M,OU,BC_A,OC_GEN_OU
IOES,"GOVT INSTITUTE OF ELECTRONICS, SECUNDERABAD",CS,993,M,OU,BC_B,BC_B_GEN_OU
JNGP,"J N GOVT POLYTECHNIC, RAMANTHAPUR",EE,995,F,OU,BC_A,OC_GIRLS_UR
WRGL,"GOVT POLYTECHNIC, WARANGAL",CS,1002,M,OU,BC_B,"BC_B_CAP_GEN_UR(0
)"
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,1002,M,OU,ST,ST_GEN_UR
IOES,"GOVT INSTITUTE OF ELECTRONICS, SECUNDERABAD",CS,1005,M,OU,BC_D,BC_D_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,1006,F,OU,SC,SC_GIRLS_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",EE,1007,F,OU,SC,OC_CAP_GEN_UR(0)
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,1011,M,OU,SC,SC_GEN_OU
IOES,"GOVT INSTITUTE OF ELECTRONICS, SECUNDERABAD",EC,1012,M,OU,SC,OC_GEN_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,1014,F,OU,BC_D,BC_D_GEN_UR
IOES,"GOVT INSTITUTE OF ELECTRONICS, SECUNDERABAD",AI,1016,F,OU,BC_B,BC_B_GIRLS_AU
MASB,"GOVT POLYTECHNIC, MASAB TANK",EE,1017,M,OU,BC_B,OC_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",EC,1018,M,OU,BC_B,OC_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",EC,1024,F,OU,OC,EWS_GIRLS_UR
DDHD,"S D D TT I FOR WOMEN, HYDERABAD",CS,1028,F,OU,BC_D,BC_D_GIRLS_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,1031,M,OU,BC_D,BC_D_GEN_OU
GPWS,"GOVT POLYTECHNIC FOR WOMEN, SECUNDERABAD",CS,1034,F,OU,BC_D,BC_D_GIRLS_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",EC,1044,M,OU,BC_D,OC_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",EC,1048,M,OU,BC_D,OC_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",EE,1055,M,OU,SC,OC_GEN_OU
WRGL,"GOVT POLYTECHNIC, WARANGAL",CS,1057,F,OU,BC_D,OC_GIRLS_OU
IOES,"GOVT INSTITUTE OF ELECTRONICS, SECUNDERABAD",CS,1062,M,OU,BC_B,BC_B_GEN_OU
IOES,"GOVT INSTITUTE OF ELECTRONICS, SECUNDERABAD",CS,1066,M,OU,BC_B,BC_B_GEN_OU
IOES,"GOVT INSTITUTE OF ELECTRONICS, SECUNDERABAD",CS,1071,M,OU,BC_D,BC_D_GEN_OU
IOES,"GOVT INSTITUTE OF ELECTRONICS, SECUNDERABAD",CPS,1084,F,OU,BC_D,OC_GIRLS_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",EC,1088,M,OU,BC_B,OC_GEN_OU
IOES,"GOVT INSTITUTE OF ELECTRONICS, SECUNDERABAD",AI,1091,F,OU,BC_B,BC_B_GIRLS_SVU
SRRS,"SRRS GOVT POLYTECHNIC, SIRCILLA",EE,1096,M,OU,OC,OC_GEN_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",EC,1098,F,OU,BC_B,OC_GIRLS_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,1108,F,OU,BC_B,BC_B_GEN_OU
DDHD,"S D D TT I FOR WOMEN, HYDERABAD",CS,1119,F,OU,BC_D,BC_D_GIRLS_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",EC,1119,F,OU,BC_D,OC_GIRLS_OU
IOES,"GOVT INSTITUTE OF ELECTRONICS, SECUNDERABAD",CS,1125,F,OU,OC,OC_GIRLS_OU
IOES,"GOVT INSTITUTE OF ELECTRONICS, SECUNDERABAD",AI,1128,F,OU,OC,EWS_GIRLS_UR
WRGL,"GOVT POLYTECHNIC, WARANGAL",CS,1128,F,OU,BC_B,OC_GIRLS_OU
SGMA,"S G M GOVT POLYTECHNIC, ABDULLAPURMET",CS,1128,F,OU,OC,OC_GIRLS_OU
NZBD,"GOVT POLYTECHNIC , NIZAMABAD",CS,1135,M,OU,BC_B,OC_GEN_OU
NZBD,"GOVT POLYTECHNIC , NIZAMABAD",CS,1135,M,OU,BC_A,OC_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",EC,1143,F,OU,BC_D,OC_GIRLS_OU
NZBD,"GOVT POLYTECHNIC , NIZAMABAD",EC,1148,F,OU,BC_B,OC_GIRLS_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",EE,1148,M,OU,BC_B,OC_GEN_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",EC,1158,F,OU,BC_B,OC_GEN_OU
WRGL,"GOVT POLYTECHNIC, WARANGAL",EC,1158,M,OU,OC,OC_GEN_UR
JMTS,"JYOTHISHMATHI INSTITUTE OF TECHNOLOGY AND SCI., KARIMNAGAR",CS,1162,F,OU,BC_B,OC_GIRLS_UR
MASB,"GOVT POLYTECHNIC, MASAB TANK",CS,1165,F,OU,BC_E,BC_E_GIRLS_OU
MASB,"GOVT POLYTECHNIC, MASAB TANK",CE,1166,F,OU,BC_D,OC_GEN_UR
IOES,"GOVT INSTITUTE OF ELECTRONICS, SECUNDERABAD",CS,1166,F,OU,BC_A,BC_A_GIRLS_UR
